gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,4356,0.071,0.019,0.920,18.656,1.832,-8.366,23.21
idle,1767714402980,4371,0.087,0.016,0.934,18.771,3.588,-0.641,23.21
idle,1767714402980,4386,0.095,0.014,0.929,18.374,3.473,-0.664,23.26
idle,1767714402980,4402,0.075,0.008,0.926,18.534,2.435,0.679,23.26
idle,1767714402980,4418,0.081,0.010,0.932,18.626,3.344,0.672,23.21
idle,1767714402980,4433,0.073,0.009,0.926,18.702,3.221,0.695,23.21
idle,1767714402980,4449,0.077,0.007,0.937,18.504,2.649,0.565,23.26
idle,1767714402980,4464,0.075,0.006,0.929,18.725,3.214,0.641,23.21
idle,1767714402980,4480,0.073,0.012,0.925,18.489,2.908,0.603,23.21
idle,1767714402980,4495,0.074,0.011,0.927,18.588,2.832,0.611,23.26
idle,1767714402980,4511,0.072,0.008,0.931,18.496,3.115,0.824,23.26
idle,1767714402980,4527,0.076,0.016,0.928,18.611,2.931,0.656,23.31
idle,1767714402980,4542,0.069,0.010,0.924,18.382,2.885,0.679,23.31
idle,1767714402980,4557,0.072,0.012,0.918,18.618,3.206,0.588,23.26
idle,1767714402980,4573,0.071,0.007,0.935,18.504,2.893,0.611,23.35
idle,1767714402980,4588,0.079,0.007,0.931,18.550,2.695,0.542,23.31
idle,1767714402980,4604,0.069,0.010,0.919,18.718,3.008,0.649,23.31
idle,1767714402980,4620,0.076,0.007,0.926,18.611,2.977,0.710,23.26
idle,1767714402980,4635,0.076,0.004,0.925,18.534,2.802,0.557,23.26
idle,1767714402980,4651,0.075,0.011,0.924,18.527,3.092,0.573,23.21
idle,1767714402980,4666,0.073,0.011,0.930,18.374,2.962,0.626,23.26
idle,1767714402980,4682,0.074,0.008,0.931,18.450,2.985,0.481,23.26
idle,1767714402980,4698,0.078,0.012,0.924,18.618,3.069,0.542,23.26
idle,1767714402980,4713,0.072,0.016,0.927,18.489,3.000,0.557,23.31
idle,1767714402980,4728,0.072,0.013,0.929,18.542,2.817,0.603,23.17
idle,1767714402980,4744,0.073,0.005,0.931,18.466,3.069,0.565,23.17
idle,1767714402980,4759,0.069,0.009,0.935,18.550,3.000,0.580,23.21
idle,1767714402980,4774,0.072,0.009,0.926,18.580,3.023,0.595,23.35
idle,1767714402980,4791,0.073,0.008,0.932,18.382,2.931,0.588,23.35
idle,1767714402980,4806,0.074,0.008,0.930,18.496,2.885,0.618,23.31
idle,1767714402980,4822,0.081,0.011,0.925,18.496,2.939,0.641,23.31
idle,1767714402980,4837,0.071,0.014,0.930,18.504,2.931,0.534,23.26
idle,1767714402980,4852,0.077,0.006,0.927,18.374,2.969,0.580,23.35
idle,1767714402980,4869,0.076,0.014,0.932,18.473,2.802,0.672,23.21
idle,1767714402980,4884,0.070,0.005,0.935,18.473,3.191,0.664,23.26
idle,1767714402980,4899,0.074,0.010,0.925,18.588,2.931,0.542,23.26
idle,1767714402980,4915,0.075,0.012,0.931,18.542,3.107,0.496,23.26
idle,1767714402980,4930,0.072,0.012,0.927,18.534,2.969,0.565,23.40
idle,1767714402980,4945,0.070,0.012,0.929,18.519,2.840,0.534,23.21
idle,1767714402980,4962,0.074,0.012,0.933,18.542,2.992,0.649,23.26
idle,1767714402980,4977,0.076,0.008,0.930,18.542,3.160,0.672,23.26
